Id,SalePrice
1461,123897.28560987514
1462,148658.87705494984
1463,166085.97233948053
1464,188583.46873063967
1465,214115.43500869785
1466,179852.23239232652
1467,162321.0581972268
1468,177786.742274547
1469,195925.08687275552
1470,118375.13416645266
1471,199658.986395319
1472,103149.59175937569
1473,103136.71826931968
1474,169323.56652303148
1475,124807.63439068929
1476,325867.20073587354
1477,249112.22223398314
1478,312662.20014002715
1479,314361.09091670194
1480,325867.20073587354
1481,325867.20073587354
1482,218010.89443888687
1483,185427.98790320326
1484,173301.08038848135
1485,170105.49253273554
1486,202209.30673448532
1487,325867.20073587354
1488,284280.30617940833
1489,191943.13855420053
1490,190451.32756540793
1491,196638.57593460276
1492,116256.85130605559
1493,175159.6045675174
1494,324403.49808952934
1495,324915.8683787751
1496,199940.2188327132
1497,194710.950141628
1498,155579.94690134985
1499,155579.94690134985
1500,152575.02686031535
1501,166849.4702233192
1502,144963.19744439833
1503,217677.1057028602
1504,251983.75736994657
1505,202294.4638949155
1506,174933.67821032097
1507,254509.73283834773
1508,180067.04202904867
1509,164641.8029872337
1510,152473.82937741847
1511,154514.5570615522
1512,161514.35097945688
1513,167495.90903774937
1514,147029.53703339127
1515,198718.0493324338
1516,165548.83408404133
1517,144614.6263110469
1518,152257.3702828639
1519,202640.82537877324
1520,142659.6155101552
1521,144745.708443198
1522,168271.53699453318
1523,110419.43214764683
1524,129811.78743252969
1525,130876.57844814738
1526,129502.91864854991
1527,105762.57571673658
1528,134582.58098653835
1529,145258.19250973343
1530,164388.65939105244
1531,115208.08578207412
1532,120953.86471333021
1533,145227.80759652398
1534,125088.16630102074
1535,141598.32015790016
1536,130674.07181486333
1537,102720.1754117677
1538,209489.72778560538
1539,259062.3791355296
1540,134888.2916186376
1541,158998.40971973847
1542,137592.21758219975
1543,228028.36369286917
1544,104842.67492444367
1545,113700.73452708739
1546,136058.3111509749
1547,129945.2484971231
1548,134939.39139506943
1549,105484.38486729431
1550,145236.41792089972
1551,133285.89978553983
1552,139969.23023190157
1553,140961.84717584003
1554,125916.0417746922
1555,150006.55478142673
1556,104273.00411175106
1557,134923.1282045085
1558,107447.79651018958
1559,110360.16601297591
1560,146474.45356983095
1561,137945.87178709128
1562,123360.6943770938
1563,123229.90255243692
1564,153649.09239660547
1565,139278.74539710008
1566,186756.20338668145
1567,102860.93886483736
1568,194241.75654144693
1569,116038.19952139677
1570,129832.79939134634
1571,118773.32154643824
1572,144875.47313155423
1573,202476.2728401063
1574,143917.75300262685
1575,194602.32564067413
1576,192288.4479209545
1577,192448.27470868663
1578,163323.0829820774
1579,132096.35874525123
1580,189118.26152921226
1581,131093.35382892235
1582,125339.54302781356
1583,325867.20073587354
1584,234650.91072078544
1585,145078.6460240974
1586,101196.38997958269
1587,108193.9735470037
1588,145351.79341511097
1589,104806.179973242
1590,139829.16475748428
1591,114525.36026424606
1592,136952.82021484303
1593,137458.59671981016
1594,122501.92473227363
1595,131659.7330505221
1596,248433.81332006128
1597,157541.43484227627
1598,173129.6411539747
1599,178222.03160527692
1600,194229.13998029957
1601,100707.18357263983
1602,114634.45619778076
1603,107479.65772319426
1604,260896.85605337776
1605,281615.7977581029
1606,168718.65206686885
1607,211688.45922966648
1608,209537.5104016825
1609,190758.30963449468
1610,128250.34165933504
1611,151501.59983939782
1612,162665.84939842348
1613,158218.46947403107
1614,126176.27849468417
1615,100433.67091133009
1616,100186.34447036801
1617,101164.82570967157
1618,122625.99778811572
1619,126949.86240495161
1620,201612.98246469113
1621,129973.344804694
1622,138095.06968596356
1623,287107.38998866675
1624,196646.04430066198
1625,126633.15565342458
1626,168059.53345629317
1627,182267.43769742837
1628,283646.7863948357
1629,170524.901942096
1630,302367.6371286104
1631,211162.91572161895
1632,270679.2657750974
1633,168913.53469346938
1634,183594.28534506704
1635,182371.312296966
1636,162458.0745298716
1637,167943.70306020926
1638,232774.552829332
1639,184050.71301997756
1640,255726.36633116833
1641,182310.8299503175
1642,228458.74750511034
1643,250917.49933742228
1644,251401.61359444226
1645,159692.83562721635
1646,154242.53666722777
1647,164236.8119231743
1648,146083.57499260386
1649,135062.51811928698
1650,113150.58464398915
1651,111702.2078179544
1652,103149.59175937569
1653,103511.7174928145
1654,163177.64231986634
1655,153547.41972955863
1656,163782.50094227018
1657,163177.64231986634
1658,165310.22731390962
1659,125956.33381578034
1660,144225.20785029748
1661,325383.08647885354
1662,325867.20073587354
1663,325867.20073587354
1664,325383.08647885354
1665,320292.02288631944
1666,314858.8012055866
1667,319208.9119783657
1668,321328.44183940627
1669,290346.1652105539
1670,325867.20073587354
1671,232620.5778875686
1672,325867.20073587354
1673,296086.65880488616
1674,286660.1819413117
1675,184905.15076282027
1676,184050.90700263187
1677,200408.6456301615
1678,325867.20073587354
1679,325369.4904469889
1680,311125.1053885151
1681,260735.5954124262
1682,314413.80032909376
1683,200032.98630302848
1684,186740.82550682517
1685,182223.8950627264
1686,189301.14248020828
1687,169562.08136907805
1688,179818.24926195954
1689,195979.14967269066
1690,189717.8893259094
1691,186381.07346074132
1692,283686.16315289115
1693,169039.3857411644
1694,179575.14383760837
1695,168861.30311032248
1696,287896.3816796544
1697,168082.76569739694
1698,325867.20073587354
1699,325867.20073587354
